,Years with Operator,,,Years in Rank,,,Years on This Type of Tanker,,,Years on All Types of Tankers,,,Years as Watch officer/Engineer,,,Date Joined,,,English Proficiency
The Company (Internal),Combined aggregate for 3/E and 4/E shall not be less than 1 year ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for 3/E and 4/E shall not be less than 1 year ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for 3/E and 4/E shall not be less than 1 year ,Third Engineer + Fourth Engineer,1.0 years,,,,,,,A minimum of 14 days shall laps between replacement of 3/E and 4/E ,Third Engineer Joining Date - Fourth Engineer Joining Date,Minimum 14.0 days ,
Tonengeneral Sekiyu K.K,,,,Combined aggregate for Master and C/O must have a minimum 1 year in rank (sea time) ,Master + Chief Officer,1.0 years ,Combined aggregate for Master and C/O must have minimum 2 years (sea time),Master + Chief Officer,2.0 years ,,,,,,,,,,
Tonengeneral Sekiyu K.K,,,,Master must have minimum 0.2 years in rank (sea time). ,Master,0.2 years ,Combined aggregate for C/E and 2/E must have minumum 2 year (sea time) ,Chief Engineer + Second Engineer,2.0 years ,,,,,,,,,,
Tonengeneral Sekiyu K.K,,,,C/O must have minimum 0.2 years in rank (sea time) ,Chief Officer,0.2 years ,,,,,,,,,,,,,
Tonengeneral Sekiyu K.K,,,,Combined aggregate for C/E and 2/E must have minimum 1 year in rank(sea time) ,Chief Engineer + Second Engineer,1.0 years ,,,,,,,,,,,,,
Tonengeneral Sekiyu K.K,,,,C/E must have minimum 0.2 years in rank (sea time). ,Chief Engineer,0.2 years ,,,,,,,,,,,,,
Tonengeneral Sekiyu K.K,,,,2/E must have minimum 0.2 years in rank (sea time) ,Second Engineer,0.2 years ,,,,,,,,,,,,,
TOTAL (Spot),Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years seatime. ,Master + Chief Officer,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 6 years seatime.,Master + Chief Officer,6.0 years ,"If 2 junior deck officers onboard, aggregated experience as OOW should not be below 12 months. ",Second Officer + Third Officer,1.0 years ,Master and C/O should not board at the same time. ,Master Joining Date - Chief Officer Joining Date,Minimum 14.0 days ,
TOTAL (Spot),Combined aggregate for C/E and 2/E shall not be less than 2 calendar years.,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years seatime. ,Chief Engineer + Second Engineer,3.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 6 years seatime. ,Chief Engineer + Second Engineer,6.0 years ,"If 2 junior deck officers onboard and 1 junior deck officer has less than 6 months as OOW, the other should have a minimum 12 months as OOW. ",Junior Deck Officer,1.0 years ,C/E and 2/E should not board at the same time. ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 14.0 days ,
TOTAL (Spot),,,,,,,,,,,,,"If 3 junior deck officers onboard, aggregated 
experience as OOW should not be below 18 months. ",Junior Deck Officer + Junior Deck Officer + Junior Deck Officer,1.5 years ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If one of the 3 deck officers is below 6 months
 seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ",Junior Deck Officer,1.0 years ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If 3 junior deck officers onboard, 2 of the
 officers must have at least 6 months experience as OOW. ","If 3 junior deck officers onboard, 2 of the
 officers must have at least 6 months experience as OOW. ",2.0 officers ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If 2 junior eng officers onboard, aggregated 
experience as EOOW should not be below 12 months. ","If 2 junior eng officers onboard, aggregated 
experience as EOOW should not be below 12 months. ",1.0 years ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If 2 junior eng officers onboard and 1 junior eng 
officer has less than 6 months as EOOW, the other should have a minimum 12 months as EOOW. ","If 2 junior eng officers onboard and 1 junior eng 
officer has less than 6 months as EOOW, the other should have a minimum 12 months as EOOW. ",1.0 years ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If 3 junior eng officers onboard, aggregated 
experience as EOOW should not be below 18 months. ","If 3 junior eng officers onboard, aggregated 
experience as EOOW should not be below 18 months. ",1.5 years ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If one of the 3 eng officers is below 6 months 
seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ","If one of the 3 eng officers is below 6 months 
seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ",1.0 years ,,,,
TOTAL (Spot),,,,,,,,,,,,,"If 3 junior eng officers onboard, 2 of the
 officers must have at least 6 months experience as EOOW. ","If 3 junior eng officers onboard, 2 of the
 officers must have at least 6 months experience as EOOW. ",2.0 officers ,,,,
TOTAL (T/C),Combined aggregate for Master and C/O shall not be less than 5 calendar years. ,Master + Chief Officer,5.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years seatime ,,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 9 years seatime. ,,9.0 years ,"If 2 junior deck officers onboard, aggregated 
experience as OOW should not be below 12 months. ","If 2 junior deck officers onboard, aggregated 
experience as OOW should not be below 12 months. ",1.0 years ,Master and C/O should not board at the same time. ,Master Joining Date - Chief Officer Joining Date,Minimum 1.0 days ,
TOTAL (T/C),Combined aggregate for C/E and 2/E shall not be less than 5 calendar years. ,Chief Engineer + Second Engineer,5.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years seatime. ,,3.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 9 years seatime. ,,9.0 years ,"If 2 junior deck officers onboard and 1 junior deck 
officer has less than 6 months as OOW, the other should have a minimum 12 months as OOW. ","If 2 junior deck officers onboard and 1 junior deck 
officer has less than 6 months as OOW, the other should have a minimum 12 months as OOW. ",1.0 years ,C/E and 2/E should not board at the same time. ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 1.0 days ,
TOTAL (T/C),,,,,,,,,,,,,"If 3 junior deck officers onboard, aggregated 
experience as OOW should not be below 18 months. ","If 3 junior deck officers onboard, aggregated 
experience as OOW should not be below 18 months. ",1.5 years ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If one of the 3 deck officers is below 6 months 
seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ","If one of the 3 deck officers is below 6 months 
seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ",1.0 years ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If 3 junior deck officers onboard, 2 of the officers 
must have at least 6 months experience as OOW. ","If 3 junior deck officers onboard, 2 of the officers 
must have at least 6 months experience as OOW. ",2.0 officers ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If 2 junior eng officers onboard, aggregated 
experience as EOOW should not be below 12 months. ","If 2 junior eng officers onboard, aggregated 
experience as EOOW should not be below 12 months. ",1.0 years ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If 2 junior eng officers onboard and 1 junior 
eng officer has less than 6 months as EOOW, the other should have a minimum 12 months as EOOW. ","If 2 junior eng officers onboard and 1 junior 
eng officer has less than 6 months as EOOW, the other should have a minimum 12 months as EOOW. ",1.0 years ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If 3 junior eng officers onboard, aggregated 
experience as EOOW should not be below 18 months. ","If 3 junior eng officers onboard, aggregated 
experience as EOOW should not be below 18 months. ",1.5 years ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If one of the 3 eng officers is below 6 months 
seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ","If one of the 3 eng officers is below 6 months 
seniority as OOW then one of the 2 other ones should be minimum 12 months as OOW ",1.0 years ,,,,
TOTAL (T/C),,,,,,,,,,,,,"If 3 junior eng officers onboard, 2 of the officers 
must have at least 6 months experience as EOOW. ","If 3 junior eng officers onboard, 2 of the officers 
must have at least 6 months experience as EOOW. ",2.0 officers ,,,,
Turpas,,,,,,,,,,,,,,,,,,,
"Unipec (Crude 
& CPP)",Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O must have a minimum 2 years in rank (sea time). ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O must have minimum 6 years (sea time) ,Master + Chief Officer,6.0 years ,,,,,,,,,,
"Unipec (Crude 
& CPP)",Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for 2/O and 3/O must have a minimum 1 year in rank (sea time). ,Second Officer + Third Officer,1.0 years ,Combined aggregate for 2/O and 3/O must have a minimum 1.5 years (sea time). ,Second Officer + Third Officer,1.5 years ,,,,,,,,,,
"Unipec (Crude 
& CPP)",,,,Combined aggregate for C/E and 2/E must have a minimum 2 year in rank (sea time). ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E must have minumum 6 year (sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,,,,
"Unipec (Crude 
& CPP)",,,,Combined aggregate for junior engineers must have a minimum 1 year in rank (sea time) ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for junior engineers must have a minimum 1.5 years (sea time). ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,,,,
Yara,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years. ,Second Officer + Third Officer,1.5 years ,,,,,,,
Yara,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years. ,Chief Engineer + Second Engineer,6.0 years ,"Combined aggregate for Junior Engineers shall not be less than 1.5 years. 
",Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
Yara,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Yara,Combined aggregate for Junior Engineers shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for Junior Engineers shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
YPF,,,,,,,Master must have at least 3 years experience (sea-service). ,Master  ,3.0 years ,,,,,,,,,,
YPF,,,,,,,C/O must have at least 2 years experience (sea-service). ,Chief Officer,2.0 years ,,,,,,,,,,
YPF,,,,,,,C/E must have at least 3 years experience (sea-service). ,Chief Engineer  ,3.0 years ,,,,,,,,,,
YPF,,,,,,,1/E must have at least 2 years experience (sea-service). ,Second Engineer,2.0 years ,,,,,,,,,,
